lr,batch_size,landepen,Relative Error
6.95e-05,1024,-1,0.028215
6.95e-05,1024,-2,0.027676
6.95e-05,1024,-3,0.027114
6.95e-05,1024,-4,0.026529
6.95e-05,1024,-5,0.025919
6.95e-05,1024,-6,0.025282
6.95e-05,1024,-7,0.024615
6.95e-05,1024,-8,0.023916
6.95e-05,1024,-9,0.023184
6.95e-05,1024,-10,0.022414
6.95e-05,1024,-11,0.021603
6.95e-05,1024,-12,0.020749
6.95e-05,1024,-13,0.019848
6.95e-05,1024,-14,0.018896
6.95e-05,1024,-15,0.017888
6.95e-05,1024,-16,0.016819
6.95e-05,1024,-17,0.015684
6.95e-05,1024,-18,0.014478
6.95e-05,1024,-19,0.013194
6.95e-05,1024,-20,0.011825
